Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sat Nov 21 2015,7:30 PM,Washington Wizards,97,Detroit Pistons,95,Box Score,,15890,
Sat Nov 21 2015,8:00 PM,New York Knicks,107,Houston Rockets,102,Box Score,,18226,
Sat Nov 21 2015,7:00 PM,Milwaukee Bucks,86,Indiana Pacers,123,Box Score,,17137,
Sat Nov 21 2015,8:00 PM,Philadelphia 76ers,91,Miami Heat,96,Box Score,,19673,
Sat Nov 21 2015,5:00 PM,Sacramento Kings,97,Orlando Magic,91,Box Score,,16104,
Sat Nov 21 2015,8:30 PM,Memphis Grizzlies,82,San Antonio Spurs,92,Box Score,,18418,
Sun Nov 22 2015,6:00 PM,Boston Celtics,101,Brooklyn Nets,111,Box Score,,14866,
Sun Nov 22 2015,8:00 PM,Golden State Warriors,118,Denver Nuggets,105,Box Score,,17689,
Sun Nov 22 2015,3:30 PM,Toronto Raptors,91,Los Angeles Clippers,80,Box Score,,19060,
Sun Nov 22 2015,9:30 PM,Portland Trail Blazers,107,Los Angeles Lakers,93,Box Score,,18997,
Sun Nov 22 2015,6:00 PM,Phoenix Suns,116,New Orleans Pelicans,122,Box Score,,16680,
Sun Nov 22 2015,7:00 PM,Dallas Mavericks,114,Oklahoma City Thunder,117,Box Score,,18203,
Mon Nov 23 2015,7:00 PM,Sacramento Kings,122,Charlotte Hornets,127,Box Score,OT,14163,
Mon Nov 23 2015,7:00 PM,Orlando Magic,103,Cleveland Cavaliers,117,Box Score,,20562,
Mon Nov 23 2015,7:30 PM,New York Knicks,78,Miami Heat,95,Box Score,,19777,
Mon Nov 23 2015,8:00 PM,Detroit Pistons,88,Milwaukee Bucks,109,Box Score,,12319,
Mon Nov 23 2015,8:00 PM,Philadelphia 76ers,95,Minnesota Timberwolves,100,Box Score,,11382,
Mon Nov 23 2015,8:30 PM,Phoenix Suns,84,San Antonio Spurs,98,Box Score,,18418,
Mon Nov 23 2015,9:00 PM,Oklahoma City Thunder,111,Utah Jazz,89,Box Score,,19911,
Tue Nov 24 2015,8:00 PM,Boston Celtics,97,Atlanta Hawks,121,Box Score,,18968,
Tue Nov 24 2015,9:00 PM,Los Angeles Clippers,111,Denver Nuggets,94,Box Score,,13257,
Tue Nov 24 2015,10:30 PM,Los Angeles Lakers,77,Golden State Warriors,111,Box Score,,19596,
Tue Nov 24 2015,8:00 PM,Dallas Mavericks,96,Memphis Grizzlies,110,Box Score,,17381,
Tue Nov 24 2015,10:00 PM,Chicago Bulls,93,Portland Trail Blazers,88,Box Score,,19393,
Tue Nov 24 2015,7:00 PM,Indiana Pacers,123,Washington Wizards,106,Box Score,,15486,
Wed Nov 25 2015,7:30 PM,Philadelphia 76ers,80,Boston Celtics,84,Box Score,,17588,
Wed Nov 25 2015,7:00 PM,Washington Wizards,87,Charlotte Hornets,101,Box Score,,17064,
Wed Nov 25 2015,7:30 PM,Miami Heat,81,Detroit Pistons,104,Box Score,,15119,
Wed Nov 25 2015,8:00 PM,Memphis Grizzlies,102,Houston Rockets,93,Box Score,,18143,
Wed Nov 25 2015,10:30 PM,Utah Jazz,102,Los Angeles Clippers,91,Box Score,,19060,
Wed Nov 25 2015,8:00 PM,Sacramento Kings,129,Milwaukee Bucks,118,Box Score,,14120,
Wed Nov 25 2015,8:00 PM,Atlanta Hawks,95,Minnesota Timberwolves,99,Box Score,,14289,
Wed Nov 25 2015,8:00 PM,Brooklyn Nets,99,Oklahoma City Thunder,110,Box Score,,18203,
Wed Nov 25 2015,7:00 PM,New York Knicks,91,Orlando Magic,100,Box Score,,18846,
Wed Nov 25 2015,9:00 PM,New Orleans Pelicans,120,Phoenix Suns,114,Box Score,,16338,
Wed Nov 25 2015,8:30 PM,Dallas Mavericks,83,San Antonio Spurs,88,Box Score,,18418,
Wed Nov 25 2015,7:30 PM,Cleveland Cavaliers,99,Toronto Raptors,103,Box Score,,20140,
Fri Nov 27 2015,7:30 PM,Washington Wizards,78,Boston Celtics,111,Box Score,,18624,
Fri Nov 27 2015,7:00 PM,Cleveland Cavaliers,95,Charlotte Hornets,90,Box Score,,19093,
Fri Nov 27 2015,9:00 PM,San Antonio Spurs,91,Denver Nuggets,80,Box Score,,17121,
Fri Nov 27 2015,8:00 PM,Philadelphia 76ers,114,Houston Rockets,116,Box Score,,17306,
Fri Nov 27 2015,8:00 PM,Chicago Bulls,92,Indiana Pacers,104,Box Score,,18165,
Fri Nov 27 2015,10:30 PM,New Orleans Pelicans,90,Los Angeles Clippers,111,Box Score,,19162,
Fri Nov 27 2015,8:00 PM,Atlanta Hawks,116,Memphis Grizzlies,101,Box Score,,17684,
Fri Nov 27 2015,7:30 PM,Miami Heat,97,New York Knicks,78,Box Score,,19812,
Fri Nov 27 2015,8:00 PM,Detroit Pistons,87,Oklahoma City Thunder,103,Box Score,,18203,
Fri Nov 27 2015,7:00 PM,Milwaukee Bucks,90,Orlando Magic,114,Box Score,,16317,
Fri Nov 27 2015,9:30 PM,Golden State Warriors,135,Phoenix Suns,116,Box Score,,18055,
Fri Nov 27 2015,10:00 PM,Minnesota Timberwolves,101,Sacramento Kings,91,Box Score,,17317,
Sat Nov 28 2015,7:30 PM,Brooklyn Nets,88,Cleveland Cavaliers,90,Box Score,,20562,
Sat Nov 28 2015,8:30 PM,Denver Nuggets,81,Dallas Mavericks,92,Box Score,,20339,
Sat Nov 28 2015,10:30 PM,Sacramento Kings,101,Golden State Warriors,120,Box Score,,19596,
Sat Nov 28 2015,10:00 PM,Los Angeles Lakers,96,Portland Trail Blazers,108,Box Score,,20019,
Sat Nov 28 2015,8:30 PM,Atlanta Hawks,88,San Antonio Spurs,108,Box Score,,18418,
Sat Nov 28 2015,9:00 PM,New Orleans Pelicans,87,Utah Jazz,101,Box Score,,19911,
Sat Nov 28 2015,7:00 PM,Toronto Raptors,84,Washington Wizards,82,Box Score,,16841,
Sun Nov 29 2015,6:00 PM,Detroit Pistons,83,Brooklyn Nets,87,Box Score,,12823,
Sun Nov 29 2015,2:00 PM,Milwaukee Bucks,82,Charlotte Hornets,87,Box Score,,14224,
Sun Nov 29 2015,3:30 PM,Minnesota Timberwolves,99,Los Angeles Clippers,107,Box Score,,19060,
Sun Nov 29 2015,9:30 PM,Indiana Pacers,107,Los Angeles Lakers,103,Box Score,,18997,
Sun Nov 29 2015,6:00 PM,Philadelphia 76ers,84,Memphis Grizzlies,92,Box Score,,15322,
Sun Nov 29 2015,7:30 PM,Houston Rockets,116,New York Knicks,111,Box Score,OT,19812,
Sun Nov 29 2015,6:00 PM,Boston Celtics,91,Orlando Magic,110,Box Score,,16209,
